ACS_Code,latitude,longitude,date,river_discharge,river_discharge_mean,river_discharge_max,river_discharge_p75
35237,34.62419749069661,36.074703445611156,2026-07-06,0.3188,0.2453,0.3188,0.2453
35237,34.62419749069661,36.074703445611156,2026-07-07,0.3188,0.2453,0.3188,0.2453
35237,34.62419749069661,36.074703445611156,2026-07-08,0.3188,0.2453,0.3679,0.2453
35237,34.62419749069661,36.074703445611156,2026-07-09,0.3188,0.2453,0.3433,0.2453
35237,34.62419749069661,36.074703445611156,2026-07-10,0.3066,0.2359,0.3188,0.2359
35237,34.62419749069661,36.074703445611156,2026-07-11,0.3066,0.2359,0.3188,0.2359
35237,34.62419749069661,36.074703445611156,2026-07-12,0.3066,0.2359,0.3066,0.2359
35229,34.616316675275506,36.04176622058402,2026-07-06,0.2824,0.2544,0.2824,0.2544
35229,34.616316675275506,36.04176622058402,2026-07-07,0.2824,0.2544,0.2824,0.2544
35229,34.616316675275506,36.04176622058402,2026-07-08,0.2824,0.2544,0.3259,0.2544
35229,34.616316675275506,36.04176622058402,2026-07-09,0.2824,0.2544,0.3042,0.2544
35229,34.616316675275506,36.04176622058402,2026-07-10,0.2716,0.2446,0.2824,0.2446
35229,34.616316675275506,36.04176622058402,2026-07-11,0.2716,0.2446,0.2824,0.2446
35229,34.616316675275506,36.04176622058402,2026-07-12,0.2716,0.2446,0.2716,0.2446
35241,34.62693484357643,36.118962976463,2026-07-06,0.2799,0.255,0.2799,0.255
35241,34.62693484357643,36.118962976463,2026-07-07,0.2799,0.255,0.2799,0.255
35241,34.62693484357643,36.118962976463,2026-07-08,0.2799,0.255,0.323,0.255
35241,34.62693484357643,36.118962976463,2026-07-09,0.2799,0.255,0.3015,0.255
35241,34.62693484357643,36.118962976463,2026-07-10,0.2692,0.2452,0.2799,0.2452
35241,34.62693484357643,36.118962976463,2026-07-11,0.2692,0.2452,0.2799,0.2452
35241,34.62693484357643,36.118962976463,2026-07-12,0.2692,0.2452,0.2692,0.2452
35414,34.6202348150192,36.24031469654177,2026-07-06,0.2808,0.2548,0.2808,0.2548
35414,34.6202348150192,36.24031469654177,2026-07-07,0.2808,0.2548,0.2808,0.2548
35414,34.6202348150192,36.24031469654177,2026-07-08,0.2808,0.2548,0.324,0.2548
35414,34.6202348150192,36.24031469654177,2026-07-09,0.2808,0.2548,0.3024,0.2548
35414,34.6202348150192,36.24031469654177,2026-07-10,0.27,0.245,0.2808,0.245
35414,34.6202348150192,36.24031469654177,2026-07-11,0.27,0.245,0.2808,0.245
35414,34.6202348150192,36.24031469654177,2026-07-12,0.27,0.245,0.27,0.245
35402,34.62045409145174,36.27726772892298,2026-07-06,0.2822,0.2545,0.2822,0.2545
35402,34.62045409145174,36.27726772892298,2026-07-07,0.2822,0.2545,0.2822,0.2545
35402,34.62045409145174,36.27726772892298,2026-07-08,0.2822,0.2545,0.3256,0.2545
35402,34.62045409145174,36.27726772892298,2026-07-09,0.2822,0.2545,0.3039,0.2545
35402,34.62045409145174,36.27726772892298,2026-07-10,0.2713,0.2447,0.2822,0.2447
35402,34.62045409145174,36.27726772892298,2026-07-11,0.2713,0.2447,0.2822,0.2447
35402,34.62045409145174,36.27726772892298,2026-07-12,0.2713,0.2447,0.2713,0.2447
35404,34.61813794518892,36.26027470198631,2026-07-06,0.262,0.2595,0.262,0.2595
35404,34.61813794518892,36.26027470198631,2026-07-07,0.262,0.2595,0.262,0.2595
35404,34.61813794518892,36.26027470198631,2026-07-08,0.262,0.2595,0.3023,0.2595
35404,34.61813794518892,36.26027470198631,2026-07-09,0.262,0.2595,0.2821,0.2595
35404,34.61813794518892,36.26027470198631,2026-07-10,0.2519,0.2495,0.262,0.2495
35404,34.61813794518892,36.26027470198631,2026-07-11,0.2519,0.2495,0.262,0.2495
35404,34.61813794518892,36.26027470198631,2026-07-12,0.2519,0.2495,0.2519,0.2495
35449,34.61155049266008,36.16510556916253,2026-07-06,0.2811,0.2547,0.2811,0.2547
35449,34.61155049266008,36.16510556916253,2026-07-07,0.2811,0.2547,0.2811,0.2547
35449,34.61155049266008,36.16510556916253,2026-07-08,0.2811,0.2547,0.3243,0.2547
35449,34.61155049266008,36.16510556916253,2026-07-09,0.2811,0.2547,0.3027,0.2547
35449,34.61155049266008,36.16510556916253,2026-07-10,0.2703,0.2449,0.2811,0.2449
35449,34.61155049266008,36.16510556916253,2026-07-11,0.2703,0.2449,0.2811,0.2449
35449,34.61155049266008,36.16510556916253,2026-07-12,0.2703,0.2449,0.2703,0.2449
35429,34.610517563835224,36.20455989965233,2026-07-06,0.2461,0.2635,0.2461,0.2635
35429,34.610517563835224,36.20455989965233,2026-07-07,0.2461,0.2635,0.2461,0.2635
35429,34.610517563835224,36.20455989965233,2026-07-08,0.2461,0.2635,0.2839,0.2635
35429,34.610517563835224,36.20455989965233,2026-07-09,0.2461,0.2635,0.265,0.2635
35429,34.610517563835224,36.20455989965233,2026-07-10,0.2366,0.2534,0.2461,0.2534
35429,34.610517563835224,36.20455989965233,2026-07-11,0.2366,0.2534,0.2461,0.2534
35429,34.610517563835224,36.20455989965233,2026-07-12,0.2366,0.2534,0.2366,0.2534
35437,34.63745047279644,36.33692453260835,2026-07-06,0.2919,0.252,0.2919,0.252
35437,34.63745047279644,36.33692453260835,2026-07-07,0.2919,0.252,0.2919,0.252
